Probe_Set_ID,DHF_102,DHF_111,DF_121,DHF_125,DHF_128,DF_129,DHF_145,DF_164,DHF_165,DF_171,ND_195,ND_199,DHF_206,ND_216,DHF_235,ND_237,ND_239,DF_243,ND_251,ND_269,DHF_277,DHF_307,DF_310,ND_317,DF_330,DF_331
200016_x_at,9.588811054,9.657318436,9.321103268,9.606017736,9.376083598,9.55917869,8.952954694,9.526529723,8.959581504,9.671984155,9.708961827,9.401489517,9.59087734,9.357897936,8.983715769,9.624441416,9.042513261,9.563142828,10.04765283,9.43557773,9.520079881,9.565297842,9.41524663,9.345081033,9.34145635,9.354709078
200017_at,8.954505743,8.944785021,7.639449869,9.392428568,9.073535054,8.854536477,8.707565586,9.113631214,8.556490825,7.952404045,9.176576742,9.257386158,8.599454974,8.960840012,8.703191315,9.639118279,8.824663185,8.699181359,9.063648473,9.12638251,8.410520704,8.454721865,8.186408749,8.881669624,8.548459273,7.928333952
200018_at,9.396463029,9.535217068,9.434938864,9.858945104,9.553114141,9.491941493,8.983201349,9.69663557,9.020039061,9.439625028,9.629767555,9.506377444,9.476344159,9.317776732,9.025094544,9.837043216,9.03851949,9.433291905,10.25610729,9.694801486,9.428294481,9.339832367,9.299769657,9.201309718,9.548404198,9.181920321
200019_s_at,9.573843948,9.639951602,9.54094543,9.8597603,9.433315909,9.625808615,9.110674721,9.719456535,9.091635662,9.602781029,9.818659245,9.571003353,9.518317597,9.543664802,9.204644179,9.979605646,9.200451639,9.492258364,10.17860477,9.918257931,9.503136844,9.476298172,9.428865274,9.420633712,9.623595062,9.397856746
200020_at,7.959241019,7.949162094,7.563771561,7.602700841,7.134651779,7.826443135,7.791109511,6.927557906,7.579474512,8.041927743,7.21303166,7.141245122,7.928442062,7.262067434,7.727843433,6.498733855,7.49097598,7.927937448,6.772965953,7.061334367,7.987320655,8.010425988,7.912899024,7.560288777,7.599501479,7.705847889
200021_at,9.258768566,9.244761122,9.617410857,9.887541081,9.415564322,9.24908982,8.673427413,9.498259916,8.677218013,9.548068962,9.325765073,9.44834889,9.319185808,9.143484501,8.623047585,9.135185698,8.667060425,9.211729407,10.05641463,9.667030772,9.177693206,9.097149277,9.266569465,8.747653907,9.255112953,8.978836974
200022_at,8.869524716,8.970635435,8.520427954,9.545561827,9.02069204,9.064701695,8.645357708,9.18076737,8.59556065,8.702078127,9.238655683,9.323677986,8.879193928,8.929143889,8.751553598,9.66091268,8.789142145,8.969719987,8.961083825,9.437945954,8.661103041,8.790025551,8.745475517,8.933044179,8.806888236,8.464404042
200023_s_at,8.526588913,8.585898021,7.952650285,8.985933523,8.977727124,8.670583582,8.608732635,8.699947988,8.595320219,8.240965269,8.692389423,8.906379855,8.547159678,8.687205972,8.592411975,9.093132171,8.912325095,8.707681311,7.988848331,8.980574944,8.599510234,8.456657316,8.533833963,8.705016254,8.499538256,8.136137729
200024_at,8.861973676,8.989469237,7.788667507,9.561032454,9.031464871,9.018889267,8.685703139,8.985194818,8.400524535,8.849370504,9.104246254,9.183400737,8.98677173,8.76795191,8.643843463,9.522029456,8.656781206,8.914894909,8.456466064,9.188534339,8.785768894,8.730803445,8.686851574,8.819591448,8.797714688,8.165733197
200025_s_at,9.449994864,9.473143002,9.358070484,9.86951186,9.49180566,9.555297935,8.988820502,9.668537073,8.942382492,9.329624503,9.714618608,9.564813895,9.390885352,9.352525463,9.008811531,9.912922899,9.086476385,9.383856609,10.14716288,9.744972362,9.340385695,9.292298168,9.206653584,9.23040767,9.508865941,9.179726513
200026_at,9.420252776,9.419628377,9.483500002,9.846123235,9.266465474,9.385469458,8.782476269,9.50419585,8.762379995,9.562362508,9.592120526,9.400497815,9.45581668,9.239588446,8.6728456,9.79486617,8.619117811,9.46322135,9.99207061,9.601314322,9.304140321,9.340965044,9.343909264,8.939371191,9.11031007,9.027258526
200027_at,8.115311655,8.270243509,8.462546914,8.940157623,8.693245135,8.160803921,8.247246251,8.496153399,8.301199022,8.283569919,8.004766286,8.635562722,8.375583543,8.090402297,8.403217897,8.520527626,8.426458528,8.386150129,8.213381737,8.709035944,8.142674272,8.166699107,8.321178307,8.006967388,8.372930134,8.061865344
200028_s_at,8.508959386,8.415714022,8.213490132,8.133998252,7.94944442,8.457782832,8.271497236,8.158745248,7.985756614,8.529240332,8.05807411,8.119517666,8.632502058,8.04568443,8.147201399,7.531605971,7.875537286,8.453720768,8.234989419,7.957807377,8.501592125,8.375445278,8.308962883,8.038350614,8.062117583,8.197566272
200029_at,9.010559281,9.122590541,8.740848612,9.564105085,9.151089182,8.992495259,8.759856977,9.30135041,8.622705696,8.876125585,9.288356412,9.389841288,8.950001056,9.076706117,8.805210208,9.67269608,8.841563928,9.054762007,8.974364842,9.485286688,8.822204246,8.865241029,8.87959769,8.909275819,9.13305968,8.743994047
200030_s_at,8.772439878,8.768543175,8.336558212,8.703705953,8.329658068,8.687526509,8.563332225,8.594006073,8.199903782,8.743451886,8.828054537,8.483636408,8.89050694,8.491341908,8.465204919,8.306891825,8.286395421,8.708243211,8.028292125,8.217789353,8.728361323,8.703871909,8.293999639,8.426436628,8.336054934,8.281901145
200031_s_at,9.617044712,9.594357099,9.65130775,10.03997894,9.652568046,9.642609683,9.095479313,9.879471461,9.126991371,9.72309214,9.815186253,9.762373196,9.522249095,9.52071061,9.179757445,10.17839969,9.181426362,9.626098986,10.39139556,9.973764266,9.600353376,9.459525869,9.481206851,9.410550962,9.788306753,9.393145145
200032_s_at,9.651687292,9.733523328,9.220320405,9.519316606,9.134646528,9.71760968,8.877814339,9.693827686,9.046078748,9.450883666,9.937429937,9.473035351,9.480688068,9.49367551,9.020389788,9.95543938,9.132205843,9.374149968,9.830873848,9.686990613,9.351371074,9.358596571,9.321631268,9.380521869,9.403898561,9.388796133
200033_at,8.900508119,8.921884667,8.834249583,8.615462625,8.875245187,8.909181224,8.663766665,9.163479346,8.612630636,8.890988738,9.156707501,8.665044069,8.855050183,8.937862133,8.676041392,8.976451799,8.705049404,8.803198859,8.155764107,8.820714164,9.043269924,8.991151491,8.897572943,8.936377098,9.023818004,9.014751188
200034_s_at,9.169955782,9.241625838,8.558814866,9.476688996,9.209530044,9.212707568,8.804625233,9.376947434,8.74932027,9.089234321,9.398478314,9.238043084,9.167161435,9.064944589,8.853379673,9.54032015,8.880877512,9.141204633,8.694418451,9.22395724,9.125990904,9.009936308,8.986584133,9.054598427,9.162483272,8.838682311
200036_s_at,8.337899047,8.303480034,7.425179087,9.13712431,8.651898894,8.127197808,8.168174577,8.601129846,7.866070482,7.8854421,8.372883926,8.978975619,8.16043253,8.282634737,8.227455675,9.255055578,8.351067766,8.240200451,8.091933456,8.813289762,8.000416562,8.020533423,7.932218569,8.24617156,7.882805365,7.558829683
200037_s_at,8.708705715,8.767889651,8.610100487,9.087019531,8.88316875,8.949456012,8.322029527,8.5139078,8.393962846,8.721618647,8.372675961,8.829797118,8.87090174,8.549699103,8.617273793,8.683063499,8.56252978,8.821688132,8.4805707,8.910302277,8.81846747,8.700630792,8.545489061,8.528548475,8.77212994,8.421694994
200038_s_at,9.307085885,9.382460066,9.125653564,9.734447406,9.369342123,9.406647013,8.88698967,9.53251807,8.824530822,9.34691463,9.591608411,9.422269274,9.35802735,9.290315385,8.976691836,9.81404413,9.05024204,9.302737221,9.338742382,9.611851005,9.301934565,9.198156449,9.152774816,9.184796898,9.394718147,9.065568903
200039_s_at,8.082278675,8.064762254,7.96838875,9.037426425,8.421628979,8.255438741,8.114893069,7.734471351,7.840667112,8.030246841,7.035092527,8.510168576,8.424748901,8.029041885,8.268013626,6.934981265,7.922152278,8.175294257,7.530050719,8.182251782,7.987626377,7.731755268,7.951664959,7.042198756,7.788708947,7.543114436
200040_at,8.175997818,8.397914037,8.566440394,8.902591637,8.570980373,8.480093427,8.017472347,8.249183019,7.665519103,8.158144003,8.157112454,8.74851124,8.469136758,8.352271377,8.311693075,8.191933855,7.948491249,8.531017198,8.43455044,8.682131193,8.071593353,8.149312844,8.112797511,7.979647067,8.199409236,8.046709447
200043_at,8.643438102,8.71141038,8.146998697,7.442844155,7.130338673,8.619406761,8.45495602,7.25721425,8.090524876,8.80609452,7.960986586,7.505712273,8.695372849,8.119874808,8.612739707,6.696663809,8.171627737,8.867540156,7.384548308,6.952154866,8.820743692,8.477058461,8.428536826,8.305409868,7.748244297,8.493002953
200044_at,8.136401184,8.105760312,7.481104896,7.588475565,7.221397453,8.200919582,7.911177381,7.569463391,7.628614898,8.054967237,7.723695148,7.373562616,8.365067127,7.760552277,7.99638457,7.037115484,7.675824386,8.079432139,7.183870715,7.429164696,8.146940775,7.997797617,7.844240718,7.848816669,7.830664063,7.729735331
200046_at,7.84842638,8.055570345,7.270382473,8.263487335,7.769547586,7.905662864,8.078564191,7.421955203,7.548714028,8.093065006,7.582789404,7.823485854,8.397260347,7.738880202,7.987626377,7.475112453,7.877776333,8.113097146,6.929908084,7.739359203,8.504189002,8.060003117,7.984326437,7.760381774,7.904297927,7.557472902
200047_s_at,8.294724412,8.49263407,8.530287091,9.025130648,8.285815835,8.835937789,8.198996927,8.272391793,7.985790641,8.531253875,8.280330968,8.702742866,8.60294878,8.064038813,8.225395997,8.585711284,8.090555518,8.493125883,8.663956653,8.784560305,8.327967858,8.359228581,8.266652749,8.181720455,8.223680822,8.021518871
200048_s_at,8.951789826,9.042962599,8.64223868,9.478495529,9.091241471,8.872627366,8.699631408,8.966853797,8.658206524,8.912122998,8.994395845,9.119999823,9.054282875,8.897996686,8.764724919,9.11719385,8.764147015,8.812039539,8.424353956,9.208769138,8.872080539,8.717878432,8.687560244,8.656555054,8.836112269,8.740528724
200055_at,7.493539941,7.658180311,7.697257548,8.093034441,7.558412408,7.811406467,7.522724678,7.725859699,7.455356321,7.335959874,7.461123017,7.995778366,7.565689704,8.011985093,7.578145472,7.833243583,7.668280695,7.433311867,8.019875918,8.188494661,7.308073833,7.205932089,7.237706299,7.250706482,7.593978544,7.28097264
200057_s_at,8.556317746,8.473554734,8.161175175,8.5771211,8.312895928,8.569994348,8.225770799,8.406864801,8.087578823,8.449470941,8.481918283,8.439101912,8.596392467,8.220160875,8.302166608,8.41690866,8.256633298,8.559179308,8.236711798,8.28609307,8.508313887,8.527717615,8.362619089,8.486424658,8.222661044,8.306793096
200059_s_at,8.515712095,8.524863698,8.733013997,8.453678146,8.273055804,8.589420825,8.416112394,8.712990212,8.301074905,8.80198108,8.668608706,8.30627461,8.766222789,8.787067645,8.57035474,8.152802846,8.470730317,8.746112034,8.045043261,8.78380994,8.63570485,8.733207389,8.678988859,8.549853974,8.689161336,8.529200811
200061_s_at,8.757170261,8.90978918,8.325184869,8.936008784,8.614537664,8.760656883,8.354744848,8.717321922,8.186714955,8.605057538,9.020232581,8.599639163,8.76164412,8.742127139,8.448485993,8.931525536,8.274255013,8.54077299,8.608294526,8.601571104,8.884208489,8.446148216,8.392808412,8.56948199,8.55421919,8.453571583
200062_s_at,9.514702555,9.585380636,9.241567684,9.358053231,9.232874559,9.468302654,8.963339484,9.586424729,8.954751105,9.493818621,9.776318733,9.409551821,9.444400124,9.419539145,9.040713891,9.883601122,9.088104939,9.444708689,10.01241819,9.728884134,9.457341065,9.482845353,9.383251119,9.36941889,9.430262741,9.228317805
200063_s_at,9.000298123,9.21986487,8.784789897,9.566419138,9.152372219,9.165405766,8.577930748,9.104635353,8.573138648,9.119320974,9.3305294,9.176080135,9.128197126,9.005773206,8.618521589,9.434171687,8.678682591,9.051801746,10.02431927,9.355703987,8.989756043,8.991313336,8.891992885,8.811801224,8.809071448,8.859803693
200065_s_at,8.051085961,8.07530266,8.016614884,8.15340731,7.665987706,8.008066124,8.109134723,8.177909005,7.940761811,8.104975335,8.300627955,7.719751593,8.260803046,7.854264789,8.043470656,7.737616283,7.941010934,7.968769537,7.223587395,8.141946862,8.113696145,8.087732478,8.159546347,7.904224094,8.307804605,8.000416562
200067_x_at,8.461786184,8.620399388,8.684621052,8.497928819,8.264878263,8.535190268,8.277742397,8.641020148,8.427049642,8.536740884,8.681503515,8.562453323,8.731465509,8.500474205,8.379814407,8.820847033,8.324772813,8.604727765,8.734576183,8.947611041,8.552676159,8.487537785,8.522479196,8.539600267,8.799058379,8.560827228
200068_s_at,8.543153293,8.436742067,7.903300716,8.972717499,8.44790742,8.411343667,8.508979552,8.179620349,8.0182632,8.650657082,8.242440506,8.37756324,8.937573184,8.196767517,8.369852604,7.93246983,8.349129506,8.654081443,8.217249586,8.236182151,8.874713778,8.554064994,8.357798787,8.198914445,8.097487161,8.145781623
200072_s_at,7.946688332,7.984871507,7.222347017,7.711101252,7.619282507,7.712443834,7.81452079,7.775989577,7.474204806,8.079277203,7.991558452,7.363089334,8.151621647,7.588121125,7.751088146,7.386161011,7.60782842,7.878155337,6.213807778,7.422014999,7.968423373,7.977487868,7.761957819,7.61977328,7.376445546,7.627203534
200073_s_at,8.241571433,8.463771317,7.944172964,8.81651229,8.661051082,8.403442017,8.255022908,7.988644776,8.002627248,8.283847778,8.091719235,8.289011972,8.571776069,8.009097172,8.103373279,8.081598718,8.05363276,8.51320525,7.942113451,7.990983166,8.288886333,8.264054243,8.106816039,8.027737593,8.2204031,8.22536922
